FileName,Products;;;;;;;;;
710020-020,t789:1;b456:5;c1234:10;;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC163D,GTC163D:0.02;200PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC163H,GTC163H:0.02;250PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC163Q,GTC163Q:0.02;250PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC163X,GTC163X:0.02;300PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC168C,GTC168C:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC168D,GTC168D:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC168F,GTC168F:0.02;150PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC168G,GTC168G:0.02;200PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC168K,GTC168K:0.02;200PLUSF20:1;L160:0.01;T403:0.001;PLUSCU2L6:0.001;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC16Y4,GTC16Y4:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC182C,GTC182C:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
Cadweld Cable to Ground Rod or Other Rounds-GTC182G,GTC182G:0.02;115PLUSF20:1;L160:0.01;PLUSCU2L6:0.001;;;;;;
